default		00:00:09.890	9.89	00:00:11.350	11.35	00:00:01.460	1.46	o
default		00:00:11.895	11.895	00:00:20.985	20.985	00:00:09.090	9.09	?
default		00:00:35.695	35.695	00:00:36.925	36.925	00:00:01.230	1.23	n
default		00:00:37.095	37.095	00:00:41.245	41.245	00:00:04.150	4.15	?
default		00:00:48.475	48.475	00:00:51.445	51.445	00:00:02.970	2.97	n
default		00:00:51.535	51.535	00:00:55.565	55.565	00:00:04.030	4.03	?
default		00:01:14.325	74.325	00:01:15.735	75.735	00:00:01.410	1.41	nn
default		00:01:15.895	75.895	00:01:18.365	78.365	00:00:02.470	2.47	n
default		00:01:18.385	78.385	00:01:23.425	83.425	00:00:05.040	5.04	?
default		00:01:36.010	96.01	00:01:37.360	97.36	00:00:01.350	1.35	?
default		00:01:37.670	97.67	00:01:46.560	106.56	00:00:08.890	8.89	?
default		00:01:54.600	114.6	00:01:57.760	117.76	00:00:03.160	3.16	n
default		00:02:08.075	128.075	00:02:11.235	131.235	00:00:03.160	3.16	n
default		00:02:47.390	167.39	00:02:50.240	170.24	00:00:02.850	2.85	n
default		00:02:52.260	172.26	00:02:56.250	176.25	00:00:03.990	3.99	d
default		00:02:56.880	176.88	00:03:07.890	187.89	00:00:11.010	11.01	?
default		00:03:22.810	202.81	00:03:28.020	208.02	00:00:05.210	5.21	?
default		00:03:32.050	212.05	00:03:33.270	213.27	00:00:01.220	1.22	nn
default		00:03:33.305	213.305	00:03:36.275	216.275	00:00:02.970	2.97	?
default		00:03:39.795	219.795	00:03:43.725	223.725	00:00:03.930	3.93	?
default		00:03:51.955	231.955	00:03:53.215	233.215	00:00:01.260	1.26	nn
default		00:03:53.280	233.28	00:04:00.660	240.66	00:00:07.380	7.38	?
default		00:04:06.970	246.97	00:04:55.000	295.0	00:00:48.030	48.03	o
default		00:04:55.205	295.205	00:04:57.235	297.235	00:00:02.030	2.03	nn
